text_script	multimodal_emotion
나 오늘 좋은 음식 먹어서, 나 스스로를 좀 대접하고 싶어.	4
뭐 찾으세요?	5
그래, 근데 그러다가 엄마 친구 혜진이 알지?	1
아니야, 난 됐어. 너 많이 먹고 다이어트 꼭 성공해.	3
아, 제가 말씀 안드렸구나. 제가 이번에 컨텐츠 기획 회사에 들어가게 되어서, 거기서 소스를 관리하거든요.	4
어떡하죠?	2
얘가 계속 옛날 타령을 하네. 갑자기 왜 궁금해진 거야?	0
"20년을 살림만 한 아줌마를, 누가 써 주겠어. 	 기술이라도 좀 배워놓을 걸."	6
다 못먹고 남기든 싹싹 비워 먹든 제 마음이죠.	3
 뭐어? 얘는 누굴 놀리니.	6
나도 사실 막막해. 경영 쪽을 배워도 내가 직접 경영할 수 있는 것도 아닐 거고.	2
강남역 근처에.	3
그래 그래라.	2
으엑! 아 이게 뭐가 부드러워!	5
근데 그냥…. 더 잘 하고 싶어서.	2
산소 가는 꿈이 왜 악몽이야? 집에서 못 노는 게 그렇게 억울해?	0
목사님은 모르시잖아요. 제 죄가 얼마나 무거운지….	2
세상에.. 어미고양이는 없었어?	2
아니 검색하면 나와. 인터넷에.	7
저, 저, 저 새파랗게 어린 놈이 말하는 싸가지봐?	0
나라에서 부르잖냐. 안 가면 영창 가야 돼.	3
 무슨 까페가 이렇게 많니.	5
아빠, 있잖아, 아빠는 왜 엄마랑 결혼했어?	5
요즘은 그것도 업체가 많아져서… 그리고 그 업체들 뒤에는 깡패들도 있고 그렇대.	2
으이씨. 약간 으슬으슬해.	2
엔진 오일 제때 갈고?	1
"아니. 그래서 고민 중이야.	 준호오빠가 좋아졌으니까, 남친이랑 헤어져야 되지 않을까?"	7
어딨는지도 몰라…	1
그래도 이건 아니지.	6
"재민아, 덥지. 	 차에 에어컨 정확히 25.5도로 맞춰놨어. 얼른 들어가."	7
그래. 근데 이제와서 너를 너무 자유롭게 키운건 아닌가 덜컥 걱정이 되기도 해.	2
네. 수민이가 너무 힘들어해요. 애들이 수민이를 은근히 엄청 따돌리거든요. 같이 놀아주지도 않고.	4
저... 경쟁 회사인 체일기획에서... 스카웃 제의를 받았어요.	7
조카가 이렇게 응원도 해주고.. 힘이 나네!	7
엄마 아빠도 작아진거죠! 엄마 아빠도, 콩이를 피해서 숨었대요.	6
나라에서 이렇게 하라고 정해놨어요!	0
그런데 다 드셨네요?	3
그래도 카페가 많이 생기니까, 맛좋은 커피 마시는 건 좋잖아.	1
태민이는 솔직히.. 제 친구 아니란 말이에요.	0
"어르신. 그러니까 이게 진시황이 찾아다니고 	 클레오파트라가 애달프게 찾아 헤매던, 그 신비의 명약이란 이 말씀입니다."	5
음… 그냥 아빠가 그랬으니까요….	1
 자주 있는 일은 아니죠.	7
저 아이스 아메리카노 큰 사이즈로 하나 주세요.	1
아니야. 엄청 예쁘게 그릴거야.	3
 아직이요.	5
너 왜 이래 진짜 무섭게…!	2
근데, 그러면 현우가 계속 레벨이 안 맞는 반에 있는건데, 괜찮겠어?	6
아니, 우리 세훈이가 무슨 나쁜 의도가 있어서 그렇게 한 게 아니라… 어쩌다가 장난으로...	4
치…. 지금 먹고 싶은데.	6
"나도 이런 거 좋아. 우리 처음 만나기 시작했을 때는 	서로 할 일을 못했었잖아. 	요즘에는 그래도 각자 일에 조금씩 집중할 수 있는 것 같아서 	좋은 것 같아."	7
아 됐어 됐어. 나 치킨 시켜 먹을거야.	3
그럼 내일은 일찍 들어오는 거지?	7
얼굴에 다 나오는데, 어떻게 모르겠어요.        그래서, 여자친구가 왜?	7
아니, 사내애가 장난치다가 그런 걸로.. 뭘 그럼.. 야단이라도 치라는 거예요?	3
우리 부모님 이혼하셨잖아. 따로 사셔. 엄마한텐 아직 안 물어봤어.	1
진짜? 결국 떠나는구나.	5
엄마 나 유학가고 싶어.	6
그런게 있어? 근데 난 그냥 매운 라면 먹고 싶은데.	5
아.. 왜 갑자기 화를 내고 그래?	2
까먹기는. 맨날 그러면서. 엄마가 맨날 콩이 밥 주고 똥 치우고. 이럴 줄 알았으면 콩이 안 데리고 왔을거야.	0
우리 앞으로 30년은 더 살텐데.. 앞으론 점점 더 심해지겠지?	2
새벽반 진짜 힘들지?	6
옷에 미세먼지가 묻는다는 거 말이에요.	1
당신이 그거 다 옮기고 하다가 몸살 나고 골병만 들지. 돈을 주고 누가 해주는 게, 나중에 더 돈 들것도 줄어드는 길이야.	2
응. 치킨의 생명은 기름이지.	7
내가 지금 소리를 안 지르게 생겼어!	0
그럼 한 시간으로 할까? 생각해보니까 두 시간도 너무 긴 것 같다.	1
20살 21살 이런애들이 보기에는 나는 늙은 거 아닐까?	3
어떤 일 때문에 오셨어요?	7
아이고…. 오늘 못 보면 몇 달 뒤에나 볼텐디. 	6
고마우면 앞으로 누나한테 잘 해. 아침에 일어나면 누나방을 향해서 세 번 절해.	1
아.. 아니에요, 아빠.. 아, 이건 진짜란 말이에요.. 그 날 아파서 시험 못 쳤어요.. 죄송해요 ..	2
응. 알았어.	1
네, 네. 이거 죄송하게 됐습니다.	4
8반 아이들이… 오늘은 5반 가서도… 그랬다고 하더라구요…	2
그치만…. 저희 콩이가 사라져서.	4
왜? 이런 얘기 꿀꿀해?	3
달라!	0
" 저게 누굴 닮아서, 저러고 다니는 거야.	 저런 게 대체 어디서 나왔어. "	0
맞아. 맞아!	1
그래요? 아 진짜.. 그거 근데 조선시대에는 걸리면 사형 아니에요? 사약?	2
 그래. 잘 했네.	5
그래서 저는 너무 힘들다구요!	0
아니 없어.	4
"뭐어? 아니야~!	 니가 무슨 아빠 판박이야.	 아빠 유전자엔 니가 없어."	5
야! 비교하지마!	0
나? 글쎄… 안 해본지 한참 되어서. 한 오십 개 하려나?	1
전교 회장 선거? 이야… 도진이 너 거기 나가면 전교 회장 될 자신 있어?	7
못 들었어? 방금 드륵 드륵 긁는 소리 같은 거.	2
그래. 돈 아깝다고 더울 때도 참지 말고, 꼭 에어컨 틀어.	7
 네, 저야 뭐, 별일 없이 잘 지냈죠. 선생님 얼굴이 더 좋아지셨네요.	7
한우?	5
근데 우리 주 교재가 리딩 교재잖아. 이미 애들 다 샀는데 그건 어떻게 할거야. 환불해줄거야?	6
아냐. 진짜 맛있었구나?	7
거짓말이지! 술 냄새가 나는데!	0
그렇구나…	4
와.. 너 엄마 아빠한테도 그렇게 말해?	3
아 진짜 까다로운 자식. 어디서 이런 자식이 나왔나?	0
"	그럼 이거 면 버리고 다시 할까?"	7
참내, 그래서 어때, 선물 뭐 생각했어 그럼	3
더 드세요. 쭉.	7
 그래서?	2
이번 작품은, 모든 것을 잃고, 단 하나의 목표만을 위해        달려가는 남자의 이야기를 담았습니다.	6
그런게 아니라…	0
그래 그럼 내가 전화해볼께. 이번에도 현금으로 한다고 좀 깎아 달라고 해야겠다.	1
에이 코 묻은 돈 뜯고 싶냐?	3
많이 힘들구나. 엄마가 그것도 모르고.	4
"알지. 괜찮아. 		에이, 아까 니 말 듣지 말고, 그냥 면 새로 할걸…	내가 면 새로 했어도 먹었을거지?"	7
제가 질문들을 준비해 왔고요. 그냥 편하게 대답해주시면 됩니다. 아! 참! 그리고, 오늘 나누는 대화들을 제가 핸드폰으로 녹음해도 될까요?	1
바른 말을 하는게 바른게 아니라구요?	3
거짓말.	3
나? 나는 없지. 날 봐. 이미지가 쎄잖아.	6
그래. 말해줘서 고마워.	7
응.. 인생이 뭔지도 모르면서.. 공부는 왜 할까?	1
"맞아. 이 정도면, 누나 거의 내 아바타 수준인 거 같애.	 내가 누나 아바타인건가."	2
이 자식이 지금 상황 파악 못하고. 그게 중요해 지금? 엄마는 성적보다 거짓말한 게 더 화나고 기분나빠.	0
누나 속물이구나?	5
어. 원래 산수만 했었는데, 엄마가 중국어랑 영어까지 시켜서 진짜 미치겠어!	0
맞다. 왜!	0
야 내가 지금 이렇게 너의 초기작을 봐주고 있잖냐. 이 정도면 지분 있는 거 아니야?	0
"아휴.. 또 아무것도 안 했겠구만. 	알았어."	6
너 그거 지금은 괜찮아도 나중에 아플 수 있어. 얼른 병원가봐.	2
"아이고. 너는 속 편해서 좋겠다.	 엄마 속은 이렇게 타들어가는데!"	0
자세히...봐도, 아무 것도 없는데?	5
어머니한텐 비밀이다…?	2
엄마, 나는 엄마가 너무 좋아..	7
됐고. 여깄다가 애들 출석 끝나면 전화해.	3
맞잖아. 언니 지금 나보고 멍청하다고 한 거 아니야?	0
무서운데...	2
나 삼천 원 있어.	1
부모님이 뭐 하시는데? 교수님? 학자?	1
네....	2
미안해요, 선배. …..  …..아까는 제가 좀 흥분했어요.	4
아 예, 어머님만 믿겠습니다.	2
그건 아니지. 그걸 왜 형욱이가 가져가.	0
요즘 원가로 가격 생각하면 바보야. 제품 안에 들어가는 다양한 요소를 고려해봐야지.	1
어머. 감사해요.	1
나는 이제 나이 든 꼰대지.	4
있어.	7
그럼 좋아하는 게 아니라, 잘 하는 걸 해야 되는 거 아니야?	2
나는 저번에 아빠가 그 진수 아저씨 얘기해주고 나니까… 안 나갔으면 좋겠다 싶어.	2
"아니, 그깟 고추가 문제에요? 	 어머니 그러다 저번처럼 쓰러지시면 어떡하실려고 그래."	6
둘째는? 생각 없어?	1
네…뭐….	6
응. 제목이 뭐가 중요해. 지금 극장에서 1위하는 영화 보고 싶다니까.	0
아, 있다가.	6
아니 티비에서. 헬스 트레이너가 그랬다고. 진짜야.	0
고모는 근데 왜 요리 안 해요?	6
 할머니 집에 혼자세요?	2
튜브? 웬 튜브?	5
그러려면 운동을 열심히 해야겠는걸?	5
응. 근데 그래도 추억여행 삼아. 가볼까 했지.	4
제가 25층에서 근무를 하는데. 여차하면 들어서 내던지지 뭘. 이렇게 생각해 버리고 만다니깐요.	0
죽은 거 아니야.. 아직 살아 있으니까! 119 부르라고.. 119를 부르면 어떻게든.. 그 사람들이 해결을 해 줄거다...	2
"저만한 사이즈로 나온 게, 거의 없어서 그래.	 맞추면 너무 비싸고."	6
거의 하루에 두 권은 보니까…?	1
삼촌 뭐해?	7
왜?	5
뭐?	5
아니야. 처음에 한국에서 만났대. 두 달은 한국에서 같이 지냈나봐.	7
저기요, 방금 세탁기 돌리신 거 그 쪽 맞죠?	6
나는 장난처럼 안 느껴져! 모욕적으로 느껴진다고!	0
"아... 좋네요...	 근데 앞에 상가하고 엄청 가깝게 붙어있네요?"	6
그러게. 할아버지는 마우나케아라는 산 이름조차 처음 들어보는 것 같아.	1
아.	4
그래? 그러면 바베큐 도구도 사야겠구나?	5
삼촌 나 코 수술할까?	2
누군데? 그 때 말했던 걔, 동준인가 뭔가 하는 그 자식이냐?	3
적어! 안 적으면 안 보내줄거야!	0
엄마는 드라마 말고는 바깥 세상을 만날 일이 너무 없어…	4
그렇구나. 그럼 다행이긴 한데 내가 미안해서. 혹시라도 내가 도울일이 있으면 뭐라도 괜찮으니까, 편하게 이야기 해요.	4
불러 경찰.	0
그럼 내 성의를 봐서 한 모금만 마셔줘. 그건 괜찮지?	1
아이고 고맙다. 고마워.	7
야야. 제수씨한테 전화해봐.	5
정책 같은 소리 하네. 여기가 국회야? 쬐깐한 동네 미용실 나부랭이가 무슨 정책 타령이야.	3
솔직히 사장님 완전 악덕 업주예요. 최저시급도 안 되게 시급 주시고…..주휴수당이 뭐야, 야간 수당은 바라지도 않아요.         근데 더 끔찍한 건, 사장님 그 썩어빠진 마인드예요.	0
아무것도 아니라서 다행입니다!	0
절에서 절밥 주는 데 뭐.	7
동네 제일이지. 너 안 먹어 봤어?	1
매일 쓰지 말아야 하는데. 편한건 사실이니까.	4
알았어. 너야말로 저번에 무릎이 아프다며? 병원은 갔어?	6
아구. 미안해 엄마가. 엄마가 요새 이렇게 깜빡한다.	2
하.. 나 진짜 인내심에 한계를 느끼는데… 야… 우리는 경찰로서… 이렇게 신고가 들어오면 조사를 안 할 수 없어… 근데 왜 말을 못 하겠다는거야? 말을 못 하겠으면 신고를 하지 말았어야지..	0
있으니까 먹었지.	5
... 내가 어떻게 하면 되는데.	3
뭐야. 왜 밑밥을 깔아. 누군데 그래.	5
예지 엄마가 허락을 해주겠냐? 너 같은 솔로나 이런 차 타는 거야.         나는 바꿔도 아마 국산 SUV가 아닐까 싶다.	0
응. 완전. 넌 내 보물이야.	7
"지루할 때도 있지. 근데 그렇게 만나는거지. 	어떻게 맨날 짜릿하고 자극적이고 그러냐? 	평양냉명같이 슴슴한 맛에 만나는거지."	7
이 사람이 운명처럼 느껴졌어. 마법처럼.	5
경찰이면 그렇게 아무거나 막 물어보셔도 된다는거에요?!	0
아직 고민중이야… 저번에 사다놓은 고기 재워놓은 거 구울라고.	1
어머.. 그런 식으로 무릎이 나가버릴 수도 있구나. 너무 놀랐겠다.	2
...재민아, 너 카스트라토라고 알아?	2
그래요...?	3
조금만 버텨주세요. 거의 다 왔잖아요.	6
에휴. 할머니가 너 걱정하는게 일이지 뭐.	3
아니 그렇잖아. 공공장소에서는 조용히 해야지.	0
그만하라구!	6
넌 좋겠다? 공부 잘해서.	3
그렇게 무서운게 12세밖에 안된다고?	6
 정말? 안되는데.	4
제가 건물주인데요.	3
니 엄마도 아빠가 얼마나 민감하게 반응할지 몰랐던거지 뭐.	1
제가 처음부터 분명하게 말씀 드렸잖아요. 희찬이 땅콩 알레르기 있다, 그러니까 제대로 신경 좀 써 달라.	0
야, 내가 무슨 죄가 있냐! 나 혼자서 낚시 가는 것도 안 된다는 거야?	3
어쭈 왜 말을 못해? 진짜 나쁜 생각해?	5
엄마랑 아빠랑 나랑 셋이 모으면 미국 한 번 왕복은 나오겠던데.	1
알았어! 내가 얘들 생명줄을 잡고 있는데… 절대 잊어버리지 말아야겠다!	1
나도 뭐 오래 된 거 아닌데.	6
네. 뭐 좀 확인하고, 준비물만 챙길게요.	2
"아까도 5분 더 한다고 해서 할머니가 10분 줬지~~? 이제 그만!	 엄마랑 컴퓨터 게임 조금만 한다고 약속했잖아?"	0
응. 알았어. 너 암 보험이나 그런건 있어?	2
아, 결혼 기념일. 벌써 그렇게 됐나?	5
빨래통? 아 엄마 아직 빨래 안 했던데. 아씨.. 지금 나가야 되는데.	5
오래 두고 먹는 것 들이라 많이 해 갔으니까.	1
어떻긴. 나쁘지. 아씨. 언제 서른이 됐냐. 진짜.	4
그 놈이 자기 좋아하는 김자홍이를 붙인다고 나를 떨어뜨렸어. 편파판정이지.	0
그래, 가서 싸인 많이 받구 와라.	3
저 새끼 무슨 전환데 밖에서 받냐.	0
그랬어? 뿌듯하네.	7
진수 엄마랑, 진수 둘 다.	0
엄마 나 방학 때 축구캠프 보내주기로 했잖아!	0
"요즘에는 다들 많이 해. 	다 개성인데 뭘."	6
 서류 열심히 쓰고 있지...	3
 완전 지쳤어.	6
할머니가 엄마랑 한 번 이야기 해볼게.	1
그런데요? 그게 가방이랑 무슨 상관이 있어요?	2
일주일이 뭐냐. 못해도 한 달 전에 알려줘야 되는 거 아니냐? 계약서 안 썼어?	0
내가 뭐 부모님 욕을 했어? 인신공격을 했어? 뭘 했다고 이렇게 주눅들어서, 꼬리내리고, 눈치보고 있어?	0
잘 한 거야. 하다못해, 우리가 찻집을 해서 망한다고 하더라도, 다시 가방 짊어지고 일어설 힘만 있으면, 언제든 다시 시작할 수 있는 거라고. 그게 인생이야.	7
그래, 나한테 상담할 게 있다고?	1
"현우야아~ 고모가 너한테 뭐 부탁하는 거 봤니? 	한 번만 지우한테 양보하자."	2
나가!	0
 어? 이모 일하는거야.	6
아유… 이걸 어쩜 좋니 정말…	2
그거는 좀 비싼데? 이만 오천 원.	2
마라톤을? 갑자기 아버지가? 에이… 난 좀… 너무 힘들거 같아. 몇 년 전에 뉴스에서도 60대 남성이 마라톤을 뛰다가 갑자기 심정지가 와서 쓰러졌다고… 에이. 난 너무 위험한 거 같아서 솔직히 반대에요.	2
못해? 반말하냐?	3
아 거참 귀찮게 하네.  니가 이 게임을 못하는 이유는, 우선 니가 겁나 어려서고,  어린 애들이 보아선 안되는 선정적 장면들이 있기 때문이지.	0
네. 점심시간에 회사 근처에 있는 곳 돌아다니고 그래요.	7
아니.	3
엄마 아빠가 나 키워주신 거는 고마운데, 같이 하루 이상 있는거는 이제 너무 힘들어. 특히 여행지에서는 같이 안 있고 싶어.	6
아, 네, 제가 어제 거래처에 확인했어요.	3
그래서 얼마 썼냐고?	2
그냥 뿌려봤어.	2
아 또 그 소리 해. 레퍼토리 좀 바꿔봐.	0
오빠 나 크리스마스 선물 뭘로 줄거야?	7
내가 안 만졌다고 몇 번을 말해! 아 짜증나.	0
왜?	6
네. 맞아요. 푸들이에요.	5
아빠 맨날 저녁식사 중에 반주하잖아.	0
그런게 어딨어 나 엄마 보러 갈거야!	0
그래. 잘 생각했어. 나중에 아플 때 서러운거 보다는 한 달에 몇 만원 내는게 나아.	1
그래도 대학을 가야 사람 구실을 하는거야.	0
평균 92 이상?	2
그래요? 15만원이 싸게 올린거에요?	0
교대 졸업하고, 지금 초등학교 선생님이래. 집안도 괜찮고.         그리고 내가 들어보니까 엄청 미인이라던데.	7
진짜야 자식아. 아 나 좀 써봐. 야, 내가 진짜 죽겠다.	4
뭐야. 빨리 일어나. 	0
그러니까 앞으로 문단속 잘해, 알았지.	2
조금만 참아봐. 아빠 금방 온댔어.	4
에휴. 여기 뭐하러 왔어. 얼른 집으로 가!	4
거기, 어딘지 안내 좀 해봐라.	6
연진이? 연진이가 누구야?	5
네. 합의금 드리면 되잖아요. 얼마를 부르든 상관없이 드릴게요.	0
한 번 봐봐.	1
정말 혼자 다 드실 수 있어요?	3
응. 지켜봐!	1
고모도 한번 당해봐야 돼!	3
진짜 끔찍해.	3
나도 돈 가져왔어. 	1
너무 신기하다.	5
나라는 못 사니까, 도시를 살거에요.	7
네 뭐 필요하신 것 있으세요?	2
네. 수업 첫 날 출석했습니다.	1
뭐라는 거야. 남의 사생활에 신경쓰지 마세요. 계산이나 해주세요.	6
아니 그렇잖아~ 애들이 선생님이 오죽 안 무서우면 그런 장난을 쳐? 우리 반 애들은 내 앞에서 그런 장난 절대 못쳐.	2
얘, 도연아. 연락 좀 하고 살아 이 기지배야.	3
선생님이 직접 타실거예요? 아님 선물?	5
아니, 뭐가 마음에 들어.	6
왜 갑자기 고민 있냐고 해?	5
아...	6
폐가엔 어린이가 놀기엔, 꽤 위험한 풍경들이 펼쳐져 있었을 거 같은데요.	2
 진짜 신기하다.       진짜 몇 달 전만 해도 너랑 이렇게 될 줄 몰랐는데….	7
어떻게 된거지 진짜… 아 하필 내가 한눈 판 사이에…	4
내가 뭐 바본 줄 알아.	0
진작 미리 쓰지. 왜 그랬어?	3
아유 언니 그런 소리 하지를 마. 이렇게 정정한데, 한참 더 살아야지.	6
너가 다 해간다고?	5
그럼 오늘 알게 된 거야?	1
개혁이 필요해…	6
하라는 건 뭐든 할게요!	2
예? 간호사한테 들으셨어요? 여태 아저씨 보셨잖아요. 이제 상태가 좋아지시기는 아무래도 힘들어요.	3
뭐?	6
아… 그래도, 참… 어렵게 닿은… 어렵게 기회 닿은건데… 한번 도와주시면 안되겠습니까?	4
그렇겠지? 아. 나도 주식을 한 번 해봐?	7
네. 맞습니다! 우리가 마감일 못 지킨건 사실이에요!	4
가슴이 답답하기까지 해? 너 너무 걱정이 많은거 아니야?. 그러다가 일찍 병나.	5
누구 이사?	5
넌 중학교 어디로 가고 싶어?	4
걱정? 넌 희순이랑 싸운 얘기도 안 해줬으면서, 언니 얘기는 바로 엄마한테 얘기하려고 해?	0
네. 그럴게요. 너무 혼란스럽네요…	2
운동삼아 오는 거지, 운동삼아 슬슬.	0
나 근데 진짜 껌 자주 삼키는데?	5
제가 사장이니까 저와 말씀하시면 됩니다... 일단 진정하세요.	2
 선생님!	5
삼촌, 핸드폰 놓고갔어.	4
근데 진짜 중학교 가서 공부하려고. 그게 내 마음이 편해.	4
뭐?	5
다 먹을 수 있어.	6
요즘 애들이 돈 모아서 집 사기가 어디 쉬워? 그러니까 부모한테 기대는 거지.	4
아니, 내가 오늘 너무 힘들어서. 자리 좀 양보해 줘.	0
"그러게 우리 회사로 들어오라니까. 	아 다른 데 가서 고생을 하냐?"	6
마포 고모. 아 아니다 이제 부산 내려가셨으니까 부산 고모.	1
쥐 쓰리 같은 경우는… 진짜 쥐 파이브랑 후면부 디자인 거의 동일하고.. 실내도 크게 나와서, 선호도가 높아요.	3
엄마가? 어디 놨을까?	5
 그래요.	7
 어머, 나리 학교가니.	5
어리다고 무조건 반말해도 괜찮은거에요?!	0
응, 말해 봐. 뭔데?	5
오늘 왜 이렇게 비가 많이 와.. 꼭 귀신이라도 나올 거 같네..	2
이를 거지?	3
아니, 근데 수한씨.	6
철수가 그러더라, 천 만원이면 사람도 죽여준다고.	3
별 말씀을요. 그럼, 다음 교수회의 때 뵙겠습니다.	7
사생활이고 뭐고… 그냥. 하.. 뭐… 나이들고 보니 더 이상 싸우기도 싫고 해서, 이혼 하기로 한거야.	4
어.	6
나 이제 운동 좀 시작하려고… 아무래도 안 되겠어.	1
진짜야. 너무 잘 하고 싶으면... 그게 싫어지기도 해.	1
요즘 몸이 예전 같지 않아.	4
어떻게 별일이 아니에요? 하루 아침에 연락이 끊겼는데.. 너무 안일하게 생각하시는 거 아니에요?	0
어머. 왜.	5
잘 생각 해봐. 내가 시급 2천원 올려 줄게. 이 정도면 파격 인상이다.	1
아니 얘가…	4
네, 잘 알죠! 깡패 출신 경찰 아닙니까?!	0
진짜… 이제부터 나한테 동생이라고 하지마.	3
기분 나쁘게 왜 그런 농담을 해?	0
왜. 때리게? 때려봐.  교무실이 바로 앞인데!	3
근데 아까 이민석이라고 했는데.	3
아니, 지금 유산 얘기가 아니잖아요. 아버지 노후는 챙기셔야죠.	0
에휴. 아빠가 미안해. 그냥 얘기 해봐.	1
너 이번에 같이 간다는 지영이? 걔 여자애지?	3
하…	2
애가 감자범벅을 안 먹어 봤다 길래. 내가 해줬지.	1
"	재밌어?"	7
다 늙은 노인네한테 오백원 깎아먹고 싶어? 심보가 못 돼 쳐 먹었구만.	6
근데… 너 샤워는 잘 하지?	3
그래도 놀다보면 저녁 먹을 시간 될 거 아니야.  집에 반찬도 다 떨어져서, 안 그래도 마트 갈까 하는 즈음이었어.	0
잘못했어요…	4
속이 다 후련하다.	0
"	오셨어요."	6
그래? 그럼 아빠는 무슨 이튜브를 하지…?	2
그러든지 말든지. 나는 안 써 귀찮아	3
대상포진? 어디에?	4
엄마는 왕따 이야기 듣고 뭐라 안 그래?	3
아니 그래서 그 날 저녁에 걔가 우리집 데려다준다 해서       같이 강을 따라서 쭉 걸었거든.        근데 그날따라, 걔가 엄청 잘생겨 보이더라?        그래서 그냥 손을 잡아버렸어.	7
뭐가?	3
좋잖아. 잘생기고, 싹싹하고, 다정한... 왜? 넌 그 사람들 맘에 안 들었니? 난 그 파마한 청년 참 좋던데.	2
응.. 그래서 애들 오분 십분 지나니까 막 울고 그랬어	4
샀어.	7
아, 네. 일전에 10분 분량의 로맨틱 코미디를 써봤습니다.	1
아이, 참, 조금만 더 기다려, 다 됐으니까. 내가 아주 끝내주는 매운탕 끓여 준다고!	7
그래?  어쩐다니. 남자 잘못 걸렸구나.	4
메일이랑 문자로 말씀드렸던 성적 이의 신청 때문에 왔는데요.	0
어. 나도 처음에 보고 충격 먹어가지고.   나중에 자식 낳으면 어떻게 대화해야하나 벌써부터 걱정된다 진짜. 걔들이 나 욕할 때 못 알아 들으면 어떡해? 번역기 필요할 듯.	1
고생했다. 야~ 우리 진성이가 진짜 유부남 된 거냐.	4
어우 그럼요. 요즘은 남자 분들도 많이 배우러 오세요.	7
뭐가.	5
어휴 우리 세빈이가 밖에서 저러고 다닐까봐 걱정이다.	6
너 원래 맨날 1일 1똥 했잖아. 갑자기 왜 그래? 변비야?	5
어, 예전에 나 보험 도와주신 분이 되게 잘 했는데.. 벌써 10년 전이니까 그 분이 아직도 보험 일 하...할지를 모르겠네.	2
"아.. 아니요. 그게 아니라 원래 짐이 별로 없어요. 	이사를 많이 다니다 보니까 짐이 많으면 불편하더라구요."	7
왜 그러는데? 아빠 너무 답답하다.	2
아, 아니야. 아니야. 내가 갈래! 네 덕분에 오랜만에 연극 구경 좀 하자.	1
춤? 오오 할머니 춤 잘 춰?	5
스토커랑 사생이랑 달라요?	7
사람들은 꼭 그렇게 군대에서 귀신을 봤다고 하더라.. 그거 다 너무 힘들어서 헛것을 본 거 아닐까?	3
너 그게 얼굴이랑 사생활 다 공개 되서 얼마나 힘든데 그래.	4
아... 정말 정답이 없네요.	4
"그거네 그거야. 	자식이 조금 더 배려심 있게 해줬어야지. 	약이나 핫팩을 사준다거나."	7
나는 눈이 좋아서, 글자 크기를 바꿀 일이 없었어.	2
"부모님 차를 종종 끌고 다녀서 실운전도 가능합니다. 	 무슨 일이세요 교수님?"	2
아 아빠 제발.	4
와…	5
해봐. 이게 효과는 직방 일 거 같아.	1
미안해.	4
근데 뭐 문제라도 있나요? 왜 물어 보세요?	5
무슨 약속? 아 귀찮게 하네. 꼬맹아.. 쉽게 가자 쉽게. 응?	0
 진짜요? 어떻게 다정하게 해줄건데요?	7
아.. 그랬구나. 어디 지원 할건데?	1
나도 그것 좀 사줘 봐. 집으로 주문해주면 내가 돈 줄게.	1
야. 너 혼자 먹어.	3
아니야 언니가 얼마나 모범생이었다구~ 공부도 잘 하고 성실하고	0
이제 3년차 아니에요?	6
어우, 글쎄요...	2
응, 이게 좀 늦어졌어. 사람들이 좀 밀려가지고.	4
돈 안 번다고 눈치를 눈치를. 애들한테 들어가는 돈이, 왜 이렇게 많냐,        장 보는 데, 왜 이렇게, 비싼 것만 사냐.        살림을 한 번도 안 해봐서, 이게 얼마나 힘든 일인지,        돈이 얼마나 드는지를, 몰라요.	4
너도… 일찍 죽고 싶지 않으면… 골고루 좀 먹어라.	3
그래도 좋겠다, 이제 새 집 들어가겠네.	1
그렇겠구나. 지금 생각하니 다 애틋하구나.	4
뭐가 싫어. 너 이 음료수도 형이 사준 거 잖아.	4
아, 뭐… 죄송합니다. 불편하신지 몰랐네요.	1
오냐. 고맙다. 고마워.	7
나랑 어떻게 절교를 해.	3
선생님이요... 그쵸? 선생님같으면요.. 일단 지상준이 걔네 이름 들으면요.. 걔네 가만히 둘까요?	2
좀 됐어. 올해 초쯤.	4
그렇지. 스토리는. 잠입수사에서 겪는 주인공의 내면의 변화가 되는 거지.	1
그럴까? 어떤 옛날 얘기 해줄까?	5
상윤이? 왜?	5
그래도 일 년동안 봐야되는데 선생님 너무 싫어하지 말고 잘 지내봐.	6
하... 진짜… 큰일 났어요… 진짜… 어떡해요…?	2
 저 온다고요? 감사해요.	7
내가 너 요만한 때, 너 데리고 이 병원 딱 요 자리 와서 기다렸었는데. 그게 벌써 언제냐…	7
할아버지랑 같이 게임 같이 할래?	1
이제 2년정도 됐어요.	2
맞네, 맞아.	7
남의 아들 결혼에 감놔라 배놔라 하지 말아라.	4
음.... 근데... 내가 영어를 잘 못해서...	2
니가 백년 벌 거 나는 십년이면 벌어. 얼굴 하나 보고 만나줬더니 주제파악 못하고… 어디 고무장갑을 디밀어 디밀긴!	0
말을 해야 선생님이 아는데…	6
언제 산 건데?	5
안 되는 게… 없는 나라요…?	5
응, 나 단 걸 평생 못먹게 된 걸까? 어떡하지?	4
나는 진짜 이런 거 너무 싫어. 삽겹살 집에 돼지 그림 있고, 양고기집에 양 그림 있는거!	6
뭐 보고 있는거야 너? 식탁에 먹은 건 그대로 늘어놓고.	0
아 예... 	6
그것도 괜찮네.	4
 야, 성호 죽었잖아.	2
손님. 여기서 자꾸 이러시면 경찰 부를 수밖에 없어요.	2
맛있게 하려고 신경 많이 쓰거든요.	7
오늘 엄마도 중요한 미팅이 있다고 해서.. 이따가 연락해보려고. 지훈이 너무 걱정 말고 얼른 숙제하고 학원 가.	1
